household_id,redcap_event_name,redcap_repeat_instrument,redcap_repeat_instance,collection_date_2b,collection_time_2b,totalnumber_2b,date_entered_2b,date_checked_2b,ento_form_2b_female__v_0,Village,row_num,sample_num,hh_date_samp,day,species,sampleid_h,sampleid_a,sampleid_w,notes,specify,pf_pcr_infection_status
K02,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,6,6/24/21,6/24/21,Complete,Kinesamo,13,1,K02_2021-05-10_1_13,1,An. gambiae,K02 H00169,K02 A00169,K02 W00169,NA,NA,negative
K02,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,6,6/24/21,6/24/21,Complete,Kinesamo,13,2,K02_2021-05-10_2_13,2,An. funestus,K02 H00170,K02 A00170,K02 W00170,Folded wings,NA,negative
K02,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,6,6/24/21,6/24/21,Complete,Kinesamo,13,3,K02_2021-05-10_3_13,6,An. gambiae,K02 H00171,K02 A00171,K02 W00171,NA,NA,negative
K02,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,6,6/24/21,6/24/21,Complete,Kinesamo,13,4,K02_2021-05-10_4_13,6,An. gambiae,K02 H00172,K02 A00172,K02 W00172,NA,NA,negative
K02,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,6,6/24/21,6/24/21,Complete,Kinesamo,13,5,K02_2021-05-10_5_13,7,An. gambiae,K02 H00204,K02 A00204,K02 W00204,Processed day 8,NA,negative
K02,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,6,6/24/21,6/24/21,Complete,Kinesamo,13,6,K02_2021-05-10_6_13,7,Undetermined,K02 H00205,K02 A00205,K02 W00205,"Processed day 8, very pale sample",NA,negative
K02,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,6,7/19/21,7/19/21,Complete,Kinesamo,14,1,K02_2021-06-07_1_14,3,Undetermined,K02 H00217,K02 A00217,K02 W00217,NA,NA,negative
K02,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,6,7/19/21,7/19/21,Complete,Kinesamo,14,2,K02_2021-06-07_2_14,3,An. gambiae,K02 H00218,K02 A00218,K02 W00218,NA,NA,negative
K02,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,6,7/19/21,7/19/21,Complete,Kinesamo,14,3,K02_2021-06-07_3_14,7,An. gambiae,K02 H00224,K02 A00224,K02 W00224,NA,NA,negative
K02,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,6,7/19/21,7/19/21,Complete,Kinesamo,14,4,K02_2021-06-07_4_14,7,An. gambiae,K02 H00225,K02 A00225,K02 W00225,NA,NA,negative
K02,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,6,7/19/21,7/19/21,Complete,Kinesamo,14,5,K02_2021-06-07_5_14,7,An. funestus,K02 H00226,K02 A00226,K02 W00226,NA,NA,negative
K02,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,6,7/19/21,7/19/21,Complete,Kinesamo,14,6,K02_2021-06-07_6_14,7,An. funestus,K02 H00227,K02 A00227,K02 W00227,NA,NA,negative
K02,july_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,7/12/21,NA,3,8/16/21,8/16/21,Complete,Kinesamo,15,1,K02_2021-07-12_1_15,7,An. funestus,K02 H00238,K02 A00238,K02 W00238,NA,NA,negative
K02,july_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,7/12/21,NA,3,8/16/21,8/16/21,Complete,Kinesamo,15,2,K02_2021-07-12_2_15,7,An. funestus,K02 H00239,K02 A00239,K02 W00239,NA,NA,negative
K02,july_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,7/12/21,NA,3,8/16/21,8/16/21,Complete,Kinesamo,15,3,K02_2021-07-12_3_15,7,An. funestus,K02 H00240,K02 A00240,K02 W00240,NA,NA,negative
K02,november_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,11/8/21,NA,1,12/1/21,12/1/21,Complete,Kinesamo,16,1,K02_2021-11-08_1_16,7,An. funestus,K02 H00243,K02 A00243,K02 W00243,NA,NA,negative
K03,october_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,10/12/20,NA,1,10/29/20,10/29/20,Complete,Kinesamo,17,1,K03_2020-10-12_1_17,1,An. funestus,K03 H00081,K03 A00081,K03 W00081,NA,NA,negative
K03,january_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,1/11/21,NA,1,2/17/21,2/17/21,Complete,Kinesamo,18,1,K03_2021-01-11_1_18,3,An. funestus,K03 H00084,K03 A00084,K03 W00084,NA,NA,negative
K03,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,2,7/19/21,7/19/21,Complete,Kinesamo,19,1,K03_2021-06-07_1_19,3,An. gambiae,K03 H00109,K03 A00109,K03 W00109,NA,NA,negative
K03,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,2,7/19/21,7/19/21,Complete,Kinesamo,19,2,K03_2021-06-07_2_19,3,An. gambiae,K03 H00110,K03 A00110,K03 W00110,NA,NA,negative
K03,july_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,7/12/21,NA,1,8/16/21,8/16/21,Complete,Kinesamo,20,1,K03_2021-07-12_1_20,7,An. funestus,K03 H00114,K03 A00114,K03 W00114,NA,NA,negative
K03,june_2022_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/6/22,NA,1,7/5/22,7/5/22,Complete,Kinesamo,21,1,K03_2022-06-06_1_21,2,An. gambiae,K03 H00117,K03 A00117,K03 W00117,NA,NA,NA
K04,june_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/8/20,NA,1,7/9/20,7/9/20,Complete,Kinesamo,22,1,K04_2020-06-08_1_22,6,An. gambiae,K04 H00021,K04 A00021,K04 W00021,NA,NA,negative
K04,december_2022_arm_1,ento_form_2b_female_anopheles_reared_2220,1,12/5/22,NA,1,1/10/23,1/10/23,Complete,Kinesamo,23,1,K04_2022-12-05_1_23,3,"Other, Specify",K04 H00055,K04 A00055,K04 W00055,NA,An. pretoriensis,NA
K05,june_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/8/20,NA,2,7/9/20,7/9/20,Complete,Kinesamo,24,1,K05_2020-06-08_1_24,1,An. funestus,K05 H00129,K05 A00129,K05 W00129,NA,NA,negative
K05,june_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/8/20,NA,2,7/9/20,7/9/20,Complete,Kinesamo,24,2,K05_2020-06-08_2_24,1,An. funestus,K05 H00130,K05 A00130,K05 W00130,NA,NA,negative
K05,october_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,10/12/20,NA,1,10/29/20,10/29/20,Complete,Kinesamo,25,1,K05_2020-10-12_1_25,4,Undetermined,K05 H00149,K05 A00149,K05 W00149,Wing features not clear,NA,negative
K05,december_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,12/7/20,NA,1,12/22/20,12/22/20,Complete,Kinesamo,26,1,K05_2020-12-07_1_26,1,An. gambiae,K05 H00159,K05 A00159,K05 W00159,NA,NA,negative
K05,january_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,1/11/21,NA,1,2/17/21,2/17/21,Complete,Kinesamo,27,1,K05_2021-01-11_1_27,7,An. gambiae,K05 H00163,K05 A00163,K05 W00163,NA,NA,positive
K05,april_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,4/12/21,NA,1,5/7/21,5/7/21,Complete,Kinesamo,28,1,K05_2021-04-12_1_28,3,An. gambiae,K05 H00165,K05 A00165,K05 W00165,NA,NA,negative
K05,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,4,7/19/21,7/19/21,Complete,Kinesamo,29,1,K05_2021-05-10_1_29,7,An. funestus,K05 H00223,K05 A00223,K05 W00223,NA,NA,NA
K05,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,4,7/19/21,7/19/21,Complete,Kinesamo,29,2,K05_2021-05-10_2_29,7,An. funestus,K05 H00224,K05 A00224,K05 W00224,NA,NA,NA
K05,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,4,7/19/21,7/19/21,Complete,Kinesamo,29,3,K05_2021-05-10_3_29,7,An. gambiae,K05 H00225,K05 A00225,K05 W00225,NA,NA,NA
K05,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,4,7/19/21,7/19/21,Complete,Kinesamo,29,4,K05_2021-05-10_4_29,7,An. gambiae,K05 H00226,K05 A00226,K05 W00226,NA,NA,NA
K05,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,3,7/19/21,7/19/21,Complete,Kinesamo,30,1,K05_2021-06-07_1_30,4,An. gambiae,K05 H00227,K05 A00227,K05 W00227,NA,NA,negative
K05,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,3,7/19/21,7/19/21,Complete,Kinesamo,30,2,K05_2021-06-07_2_30,4,An. gambiae,K05 H00228,K05 A00228,K05 W00228,NA,NA,negative
K05,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,3,7/19/21,7/19/21,Complete,Kinesamo,30,3,K05_2021-06-07_3_30,4,An. gambiae,K05 H00229,K05 A00229,K05 W00229,NA,NA,negative
K05,july_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,7/12/21,NA,2,8/16/21,8/16/21,Complete,Kinesamo,31,1,K05_2021-07-12_1_31,7,An. funestus,K05 H00239,K05 A00239,K05 W00239,NA,NA,negative
K05,july_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,7/12/21,NA,2,8/16/21,8/16/21,Complete,Kinesamo,31,2,K05_2021-07-12_2_31,7,An. funestus,K05 H00240,K05 A00240,K05 W00240,NA,NA,negative
K05,october_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,10/14/21,NA,1,11/3/21,11/3/21,Complete,Kinesamo,32,1,K05_2021-10-14_1_32,1,An. funestus,K05 H00244,K05 A00244,K05 W00244,NA,NA,negative
K05,june_2022_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/6/22,NA,3,7/5/22,7/5/22,Complete,Kinesamo,33,1,K05_2022-06-06_1_33,1,An. gambiae,K05 H00251,K05 A00251,K05 W00251,NA,NA,NA
K05,june_2022_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/6/22,NA,3,7/5/22,7/5/22,Complete,Kinesamo,33,2,K05_2022-06-06_2_33,1,An. gambiae,K05 A00252,K05 A00252,K05 W00252,NA,NA,NA
K05,june_2022_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/6/22,NA,3,7/5/22,7/5/22,Complete,Kinesamo,33,3,K05_2022-06-06_3_33,2,An. gambiae,K05 H00253,K05 A00253,K05 W00253,NA,NA,NA
K05,july_2022_arm_1,ento_form_2b_female_anopheles_reared_2220,1,7/4/22,NA,1,8/15/22,8/15/22,Complete,Kinesamo,34,1,K05_2022-07-04_1_34,7,An. funestus,K05 H00255,K05 A00255,K05 W00255,NA,NA,NA
K07,august_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,8/10/20,NA,1,9/3/20,9/3/20,Complete,Kinesamo,35,1,K07_2020-08-10_1_35,1,An. gambiae,K07 H00093,K07 A00093,K07 W00093,NA,NA,negative
K07,november_2020_arm_1,ento_form_2b_female_anopheles_reared_2220,1,11/9/20,NA,1,11/30/20,11/30/20,Complete,Kinesamo,36,1,K07_2020-11-09_1_36,6,Undetermined,K07 H00098,K07 A00098,K07 W00098,Very pale sample,NA,negative
K07,feburary_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,2/8/21,NA,1,3/8/21,3/8/21,Complete,Kinesamo,37,1,K07_2021-02-08_1_37,1,An. rufipes,K07 H00099,K07 A00099,K07 W00099,NA,NA,negative
K07,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,2,6/24/21,6/24/21,Complete,Kinesamo,38,1,K07_2021-05-10_1_38,7,An. gambiae,K07 H00114,K07 A00114,K07 W00114,Processed day 8,NA,negative
K07,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,2,6/24/21,6/24/21,Complete,Kinesamo,38,2,K07_2021-05-10_2_38,7,An. gambiae,K07 H00115,K07 A00115,K07 W00115,Processed day 8,NA,negative
K07,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,6,7/19/21,7/19/21,Complete,Kinesamo,39,1,K07_2021-06-07_1_39,3,An. gambiae,K07 H00128,K07 A00128,K07 W00128,NA,NA,negative
K07,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,6,7/19/21,7/19/21,Complete,Kinesamo,39,2,K07_2021-06-07_2_39,3,An. gambiae,K07 H00129,K07 A00129,K07 W00129,NA,NA,negative
K07,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,6,7/19/21,7/19/21,Complete,Kinesamo,39,3,K07_2021-06-07_3_39,7,An. gambiae,K07 H00135,K07 A00135,K07 W00135,NA,NA,negative
K07,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,6,7/19/21,7/19/21,Complete,Kinesamo,39,4,K07_2021-06-07_4_39,7,An. funestus,K07 H00136,K07 A00136,K07 W00136,NA,NA,negative
K07,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,6,7/19/21,7/19/21,Complete,Kinesamo,39,5,K07_2021-06-07_5_39,7,An. funestus,K07 H00137,K07 A00137,K07 W00137,NA,NA,negative
K07,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,6,7/19/21,7/19/21,Complete,Kinesamo,39,6,K07_2021-06-07_6_39,7,An. funestus,K07 H00138,K07 A00138,K07 W00138,NA,NA,negative
K07,june_2022_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/6/22,NA,1,7/5/22,7/5/22,Complete,Kinesamo,40,1,K07_2022-06-06_1_40,1,An. gambiae,K07 H00145,K07 A00145,K07 W00145,NA,NA,NA
K07,july_2022_arm_1,ento_form_2b_female_anopheles_reared_2220,1,7/4/22,NA,2,8/5/22,8/5/22,Complete,Kinesamo,41,1,K07_2022-07-04_1_41,1,An. gambiae,K07 H00148,K07 A00148,K07 W00148,NA,NA,NA
K07,july_2022_arm_1,ento_form_2b_female_anopheles_reared_2220,1,7/4/22,NA,2,8/5/22,8/5/22,Complete,Kinesamo,41,2,K07_2022-07-04_2_41,3,An. gambiae,K07 H00149,K07 A00149,K07 W00149,NA,NA,NA
K09,march_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,3/8/21,NA,1,4/7/21,4/7/21,Complete,Kinesamo,42,1,K09_2021-03-08_1_42,7,An. funestus,K09 H00053,K09 A00053,K09 W00053,NA,NA,negative
K09,may_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,5/10/21,NA,1,6/24/21,6/24/21,Complete,Kinesamo,43,1,K09_2021-05-10_1_43,6,An. gambiae,K09 H00058,K09 A00058,K09 W00058,NA,NA,negative
K09,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,3,7/19/21,7/19/21,Complete,Kinesamo,44,1,K09_2021-06-07_1_44,7,An. gambiae,K09 H00068,K09 A00068,K09 W00068,NA,NA,negative
K09,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,3,7/19/21,7/19/21,Complete,Kinesamo,44,2,K09_2021-06-07_2_44,7,An. gambiae,K09 H00069,K09 A00069,K09 W00069,NA,NA,negative
K09,june_2021_arm_1,ento_form_2b_female_anopheles_reared_2220,1,6/7/21,NA,3,7/19/21,7/19/21,Complete,Kinesamo,44,3,K09_2021-06-07_3_44,7,An. gambiae,K09 H00070,K09 A00070,K09 W00070,NA,NA,negative
